Area,Item,Year,Yield,avg_temp,Pesticides,avg_precipitation
Albania,Maize,1990,36613,16.37,121.0,1485
Albania,Potatoes,1990,66667,16.37,121.0,1485
Albania,"Rice, paddy",1990,23333,16.37,121.0,1485
Albania,Sorghum,1990,12500,16.37,121.0,1485
Albania,Soybeans,1990,7000,16.37,121.0,1485
Albania,Wheat,1990,30197,16.37,121.0,1485
Albania,Maize,1991,29068,15.36,121.0,1485
Albania,Potatoes,1991,77818,15.36,121.0,1485
Albania,"Rice, paddy",1991,28538,15.36,121.0,1485
Albania,Sorghum,1991,6667,15.36,121.0,1485
Albania,Soybeans,1991,6066,15.36,121.0,1485
Albania,Wheat,1991,20698,15.36,121.0,1485
Albania,Maize,1992,24876,16.06,121.0,1485
Albania,Potatoes,1992,82920,16.06,121.0,1485
Albania,"Rice, paddy",1992,40000,16.06,121.0,1485
Albania,Sorghum,1992,3747,16.06,121.0,1485
Albania,Soybeans,1992,4507,16.06,121.0,1485
Albania,Wheat,1992,24388,16.06,121.0,1485
Albania,Maize,1993,24185,16.05,121.0,1485
Albania,Potatoes,1993,98446,16.05,121.0,1485
Albania,"Rice, paddy",1993,41786,16.05,121.0,1485
Albania,Soybeans,1993,7998,16.05,121.0,1485
Albania,Wheat,1993,29976,16.05,121.0,1485
Albania,Maize,1994,25848,16.96,201.0,1485
Albania,Potatoes,1994,81404,16.96,201.0,1485
Albania,Soybeans,1994,7927,16.96,201.0,1485
Albania,Wheat,1994,24745,16.96,201.0,1485
Albania,Maize,1995,31300,15.67,251.0,1485
Albania,Potatoes,1995,111323,15.67,251.0,1485
Albania,Soybeans,1995,11791,15.67,251.0,1485
Albania,Wheat,1995,28703,15.67,251.0,1485
Albania,Maize,1996,32604,15.64,313.96,1485
Albania,Potatoes,1996,106138,15.64,313.96,1485
Albania,Soybeans,1996,15480,15.64,313.96,1485
Albania,Wheat,1996,21741,15.64,313.96,1485
Albania,Maize,1997,31862,15.9,376.93,1485
Albania,Potatoes,1997,109874,15.9,376.93,1485
Albania,Soybeans,1997,12768,15.9,376.93,1485
Albania,Wheat,1997,28516,15.9,376.93,1485
Albania,Maize,1998,33416,16.27,439.89,1485
Albania,Potatoes,1998,127212,16.27,439.89,1485
Albania,Soybeans,1998,14327,16.27,439.89,1485
Albania,Wheat,1998,28037,16.27,439.89,1485
Albania,Maize,1999,37455,16.57,502.86,1485
Albania,Potatoes,1999,142018,16.57,502.86,1485
Albania,Soybeans,1999,17143,16.57,502.86,1485
Albania,Wheat,1999,24954,16.57,502.86,1485
Albania,Maize,2000,38811,16.67,565.82,1485
Albania,Potatoes,2000,141228,16.67,565.82,1485
Albania,Soybeans,2000,15000,16.67,565.82,1485
Albania,Wheat,2000,30455,16.67,565.82,1485
Albania,Maize,2001,38135,16.59,628.79,1485
Albania,Potatoes,2001,148818,16.59,628.79,1485
Albania,Soybeans,2001,20000,16.59,628.79,1485
Albania,Wheat,2001,28220,16.59,628.79,1485
Albania,Maize,2002,39460,16.47,691.75,1485
Albania,Potatoes,2002,153868,16.47,691.75,1485
Albania,Soybeans,2002,20000,16.47,691.75,1485
Albania,Wheat,2002,31617,16.47,691.75,1485
Albania,Maize,2004,46197,16.16,817.68,1485
Albania,Potatoes,2004,149346,16.16,817.68,1485
Albania,Soybeans,2004,13333,16.16,817.68,1485
Albania,Wheat,2004,31130,16.16,817.68,1485
Albania,Maize,2005,45442,15.67,880.64,1485
Albania,Potatoes,2005,167061,15.67,880.64,1485
Albania,Soybeans,2005,17500,15.67,880.64,1485
Albania,Wheat,2005,31582,15.67,880.64,1485
Albania,Maize,2006,50111,15.92,943.61,1485
Albania,Potatoes,2006,170745,15.92,943.61,1485
Albania,Soybeans,2006,20000,15.92,943.61,1485
